#Bank identifier|BIC|Bank
7224|DNBANOKK|DNB Bank ASA
7226-7228|DNBANOKK|DNB Bank ASA
7230-7231|DNBANOKK|DNB Bank ASA
7233-7240|DNBANOKK|DNB Bank ASA
7243|DNBANOKK|DNB Bank ASA
7245|DNBANOKK|DNB Bank ASA
7251|DNBANOKK|DNB Bank ASA
7253|DNBANOKK|DNB Bank ASA
7258-7262|DNBANOKK|DNB Bank ASA
7264-7265|DNBANOKK|DNB Bank ASA
7273|DNBANOKK|DNB Bank ASA
7282|DNBANOKK|DNB Bank ASA
7285|DNBANOKK|DNB Bank ASA
7288-7293|DNBANOKK|DNB Bank ASA
7295-7299|DNBANOKK|DNB Bank ASA
7301|DNBANOKK|DNB Bank ASA
7304|DNBANOKK|DNB Bank ASA
7306-7307|DNBANOKK|DNB Bank ASA
7309-7310|DNBANOKK|DNB Bank ASA
7312|DNBANOKK|DNB Bank ASA
7314-7316|DNBANOKK|DNB Bank ASA
7319|DNBANOKK|DNB Bank ASA
7322-7323|DNBANOKK|DNB Bank ASA
7325-7326|DNBANOKK|DNB Bank ASA
7328|DNBANOKK|DNB Bank ASA
7331-7337|DNBANOKK|DNB Bank ASA
7362|DNBANOKK|DNB Bank ASA
7364|DNBANOKK|DNB Bank ASA
7367-7368|DNBANOKK|DNB Bank ASA
7370|DNBANOKK|DNB Bank ASA
7400-7401|DNBANOKK|DNB Bank ASA
7403-7404|DNBANOKK|DNB Bank ASA
7406-7407|DNBANOKK|DNB Bank ASA
7413|DNBANOKK|DNB Bank ASA
7416|DNBANOKK|DNB Bank ASA
7421|DNBANOKK|DNB Bank ASA
7426|DNBANOKK|DNB Bank ASA
7431|DNBANOKK|DNB Bank ASA
7435|DNBANOKK|DNB Bank ASA
7441|DNBANOKK|DNB Bank ASA
7450-7451|DNBANOKK|DNB Bank ASA
7457|DNBANOKK|DNB Bank ASA
7460|DNBANOKK|DNB Bank ASA
7462|DNBANOKK|DNB Bank ASA
7472|DNBANOKK|DNB Bank ASA
7474-7479|DNBANOKK|DNB Bank ASA
7492-7493|DNBANOKK|DNB Bank ASA
7495|DNBANOKK|DNB Bank ASA
7501-7502|DNBANOKK|DNB Bank ASA
7508-7509|DNBANOKK|DNB Bank ASA
7513-7514|DNBANOKK|DNB Bank ASA
7516-7518|DNBANOKK|DNB Bank ASA
7520|DNBANOKK|DNB Bank ASA
7535|DNBANOKK|DNB Bank ASA
7550|DNBANOKK|DNB Bank ASA
7553-7555|DNBANOKK|DNB Bank ASA
7560-7561|DNBANOKK|DNB Bank ASA
7573|DNBANOKK|DNB Bank ASA
7575-7576|DNBANOKK|DNB Bank ASA
7581|DNBANOKK|DNB Bank ASA
7584|DNBANOKK|DNB Bank ASA
7587-7588|DNBANOKK|DNB Bank ASA
7592-7597|DNBANOKK|DNB Bank ASA
7600|DNBANOKK|DNB Bank ASA
7603|DNBANOKK|DNB Bank ASA
7606|DNBANOKK|DNB Bank ASA
7609|DNBANOKK|DNB Bank ASA
7613-7615|DNBANOKK|DNB Bank ASA
7623|DNBANOKK|DNB Bank ASA
7640|DNBANOKK|DNB Bank ASA
7644|DNBANOKK|DNB Bank ASA
7656|DNBANOKK|DNB Bank ASA
7660|DNBANOKK|DNB Bank ASA
7670|DNBANOKK|DNB Bank ASA
7684|DNBANOKK|DNB Bank ASA
7686|DNBANOKK|DNB Bank ASA
7690-7696|DNBANOKK|DNB Bank ASA
7698-7699|DNBANOKK|DNB Bank ASA
7701|DNBANOKK|DNB Bank ASA
7703-7704|DNBANOKK|DNB Bank ASA
7711-7712|DNBANOKK|DNB Bank ASA
7725-7729|DNBANOKK|DNB Bank ASA
7731-7732|DNBANOKK|DNB Bank ASA
7734-7737|DNBANOKK|DNB Bank ASA
7745-7746|DNBANOKK|DNB Bank ASA
7748|DNBANOKK|DNB Bank ASA
7766|DNBANOKK|DNB Bank ASA
7780|DNBANOKK|DNB Bank ASA
7788|DNBANOKK|DNB Bank ASA
7801|DNBANOKK|DNB Bank ASA
7804|DNBANOKK|DNB Bank ASA
7806-7811|DNBANOKK|DNB Bank ASA
7813|DNBANOKK|DNB Bank ASA
7818|DNBANOKK|DNB Bank ASA
7821|DNBANOKK|DNB Bank ASA
7823-7824|DNBANOKK|DNB Bank ASA
7830|DNBANOKK|DNB Bank ASA
7832-7834|DNBANOKK|DNB Bank ASA
7839|DNBANOKK|DNB Bank ASA
7841-7844|DNBANOKK|DNB Bank ASA
7846|DNBANOKK|DNB Bank ASA
7848-7851|DNBANOKK|DNB Bank ASA
7853-7854|DNBANOKK|DNB Bank ASA
7857-7861|DNBANOKK|DNB Bank ASA
7863|DNBANOKK|DNB Bank ASA
7868|DNBANOKK|DNB Bank ASA
7874|DNBANOKK|DNB Bank ASA
7877-7878|DNBANOKK|DNB Bank ASA
7881-7889|DNBANOKK|DNB Bank ASA
7894|DNBANOKK|DNB Bank ASA
7896|DNBANOKK|DNB Bank ASA
7898-7900|DNBANOKK|DNB Bank ASA
7902-7908|DNBANOKK|DNB Bank ASA
7910-7911|DNBANOKK|DNB Bank ASA
7913-7914|DNBANOKK|DNB Bank ASA
7917|DNBANOKK|DNB Bank ASA
7919|DNBANOKK|DNB Bank ASA
7922-7927|DNBANOKK|DNB Bank ASA
7929|DNBANOKK|DNB Bank ASA
7931|DNBANOKK|DNB Bank ASA
7934-7935|DNBANOKK|DNB Bank ASA
7937-7938|DNBANOKK|DNB Bank ASA
7942|DNBANOKK|DNB Bank ASA
7946|DNBANOKK|DNB Bank ASA
7949|DNBANOKK|DNB Bank ASA
7961-7962|DNBANOKK|DNB Bank ASA
7966|DNBANOKK|DNB Bank ASA
7972-7974|DNBANOKK|DNB Bank ASA
7976-7979|DNBANOKK|DNB Bank ASA
7981|DNBANOKK|DNB Bank ASA
7989-7990|DNBANOKK|DNB Bank ASA
7993|DNBANOKK|DNB Bank ASA
7995-7999|DNBANOKK|DNB Bank ASA
8101-8103|DABANO22|Danske Bank
8109-8111|DABANO22|Danske Bank
8120|DABANO22|Danske Bank
8122|DABANO22|Danske Bank
8124|DABANO22|Danske Bank
8126|DABANO22|Danske Bank
8128|DABANO22|Danske Bank
8133|SPSONO22|Sparebanken Sør
8143|DABANO22|Danske Bank
8150|DABANO22|Danske Bank
8156|DABANO22|Danske Bank
8160|DABANO22|Danske Bank
8170|DABANO22|Danske Bank
8194|DABANO22|Danske Bank
8200|DNBANOKK|DNB Bank ASA
8205|DNBANOKK|DNB Bank ASA
8210|DNBANOKK|DNB Bank ASA
8215|DNBANOKK|DNB Bank ASA
8220|SPSONO22|Sparebanken Sør
8225|DNBANOKK|DNB Bank ASA
8230|DNBANOKK|DNB Bank ASA
8240|DNBANOKK|DNB Bank ASA
8245|DNBANOKK|DNB Bank ASA
8250|DNBANOKK|DNB Bank ASA
8255|DNBANOKK|DNB Bank ASA
8272|DNBANOKK|DNB Bank ASA
8276|DNBANOKK|DNB Bank ASA
8280-8281|DNBANOKK|DNB Bank ASA
8301|CITINOKX|Citibank Europe PLC
8303|CITINOKX|Citibank International PLC
8317|KLPKNO21|KLP Banken AS
8380|DNBANOKK|DNB Bank ASA
8382-8386|DNBANOKK|DNB Bank ASA
8394|DNBANOKK|DNB Bank ASA
8396-8398|HANDNOKK|Handelsbanken
8420|DABANO22|Danske Bank
8426|DABANO22|Danske Bank
8450|DABANO22|Danske Bank
8471-8472|DABANO22|Danske Bank
8475|DABANO22|Danske Bank
8478|DABANO22|Danske Bank
8480|DABANO22|Danske Bank
8483|DABANO22|Danske Bank
8507-8508|DABANO22|Danske Bank
8510-8511|DABANO22|Danske Bank
8513-8516|DABANO22|Danske Bank
8530|DABANO22|Danske Bank
8535|DABANO22|Danske Bank
8540|DABANO22|Danske Bank
8545|DABANO22|Danske Bank
8580|DABANO22|Danske Bank
8601|DABANO22|Danske Bank
8603-8606|DABANO22|Danske Bank
8630-8631|DABANO22|Danske Bank
8635-8636|DABANO22|Danske Bank
8640|DABANO22|Danske Bank
8642-8644|DABANO22|Danske Bank
8647|DABANO22|Danske Bank
8650|DABANO22|Danske Bank
8652-8654|DABANO22|Danske Bank
8670-8671|DABANO22|Danske Bank
8673-8674|DABANO22|Danske Bank
8676|DABANO22|Danske Bank
9001-9008|SHEDNO22|SpareBank 1 Østlandet
9011|SPRONO22|SpareBank 1 SR-Bank ASA
9012|SHEDNO22|SpareBank 1 Østlandet
9013|SPAVNOBB|Sparebanken Vest
9015|VEFONO21|SpareBank 1 Sørøst-Norge
9016|RYGSNO21|Sparebank1 Østfold Akershus
9017|VEFONO21|SpareBank 1 Sørøst-Norge
9019|SNOWNO22|SpareBank 1 Nord-Norge
9021|BNPANOKK|BNP Paribas S.A. Norway Branch
9041-9044|HANDNOKK|Handelsbanken
9046-9056|HANDNOKK|Handelsbanken
9061|DABANO22|Danske Bank
9063-9066|DABANO22|Danske Bank
9069|SHEDNO22|SpareBank 1 Østlandet
9100|STFBNOKK|Storebrand Bank ASA
9149|DNBANOKK|DNB Bank ASA
9175|IEVENO21|Næringsbanken ASA
9180-9184|SAOMNO21|Santander Consumer Bank AS
9187|SAOMNO21|Santander Consumer Bank AS
9201-9205|SAOENO22|Sparebanken Øst
9211|HAALNO21|Sparebank 1 Hallingdal Valdres
9230|KBNONO22|BN Bank ASA
9235|KBNONO22|BN Bank ASA
9246|NRCANOK2|Nordic Corporate Bank ASA
9355-9358|NORWNOK1|Bank Norwegian, en filial av NOBA Bank Group AB (publ)
9364-9365|LANDNOK1|Landkreditt Bank AS
9371-9374|HANDNOKK|Handelsbanken
9376|MYASNOK1|MyBank
9380|PTAANOK1|Pareto Bank ASA
9480-9481|HANDNOKK|Handelsbanken
9483-9495|HANDNOKK|Handelsbanken
9497-9499|HANDNOKK|Handelsbanken
9521-9526|HANDNOKK|Handelsbanken
9528|HANDNOKK|Handelsbanken
9530-9531|HANDNOKK|Handelsbanken
9533|HANDNOKK|Handelsbanken
9535-9538|HANDNOKK|Handelsbanken
9581|VVELNO21|Voss Veksel-og Landmandsbank
9590|ESSENO22|Skandinaviska Enskilda Banken AB (publ)
9600|SASKNO22|Sandnes Sparebank
9602|LUNADK2C|Lunar Bank A/S
9615|BTWONOK1|Bank2 ASA
9650-9657|SPTRNO22|SpareBank 1 SMN
9662|SPTRNO22|SpareBank 1 SMN
9666|PRBONO22|Boligbanken ASA
9680|STFBNOKK|Storebrand Bank ASA
9685-9688|HANDNOKK|Handelsbanken
9701-9707|DNBANOKK|DNB Bank ASA
9709|DNBANOKK|DNB Bank ASA
9710|SBAKNOBB|DNB BANK ASA
9713|SBAKNOBB|DNB BANK ASA
9722-9723|SBAKNOBB|DNB BANK ASA
9726-9727|SBAKNOBB|DNB BANK ASA
9729|SBAKNOBB|DNB BANK ASA
9731|DABANO22|Danske Bank
9735|DABANO22|Danske Bank
9741|DABANO22|Danske Bank
9745|DABANO22|Danske Bank
9747|DABANO22|Danske Bank
9750|ESSENOKX|Skandinaviska Enskilda Banken
9751-9752|ESSENOKX|SEB AB, Oslofilialen
9760|DABANO22|Danske Bank
9775|NDEANOKK|Nordea Bank  Abp, Filial i Norge
9791-9792|VERDNOK1|Lea Bank ASA
9801-9805|SBAKNOBB|DNB BANK ASA
9807-9810|SBAKNOBB|DNB BANK ASA
9812|TEKONOK1|Eika Kredittbank AS
9820|OBOSNOK1|OBOSBanken AS
9841|SPRONO22|SpareBank 1 SR-Bank ASA
9850-9853|SHEDNO22|SpareBank 1 Østlandet
9855-9867|SHEDNO22|SpareBank 1 Østlandet
9880|SHEDNO22|SpareBank 1 Østlandet
9890|SHEDNO22|SpareBank 1 Østlandet
9895|SHEDNO22|SpareBank 1 Østlandet
9900|YABANOK1|Resurs Bank AB NUF
9902-9903|YABANOK1|Resurs Bank AB NUF
